Cluster ID,Keywords,Product Description,Category I,Category II,Category III
167,"ventilated helmets, lightweight riding helmets, stylish riding helmets, certified riding helmets, adjustable equestrian helmets, safety equestrian helmets, competition helmets, children's equestrian helmets, impact-resistant helmets",Riding helmets with reflective accents for enhanced visibility.,Safety Styles,Safety Equipment,Performance Gear
217,"lightweight riding jackets, equestrian jackets, riding blazers, thermal riding jackets, tailored equestrian coats, show jackets, competition jackets, waterproof riding jackets, stretchable jackets, ventilated riding jackets",Riding blazers with moisture-wicking technology for active riders.,Equestrian Jackets,Equestrian Wear,Miscellaneous
30,"competition breeches, waterproof breeches, stretchable riding trousers, silicone grip breeches, show jumping attire, riding pants, equestrian breeches, low-rise riding pants, dressage breeches, thermal breeches",Stylish breeches that transition seamlessly from stable to streetwear.,Equestrian Pants,Equestrian Wear,Miscellaneous
316,"equestrian pants, dhols, heligoland, dunhill, hay tedders, dholaks, uriah heep, Riding breeches, knee-patch breeches, full-seat breeches, jodhpurs breeches, mountain dew, dewars, show breeches, nugent ted","
Introducing 'Dewars', the epitome of sophistication and taste in the world of spirits. This exquisite blend of single malt whiskies from Scotland's finest distilleries offers a rich, smooth experience that is sure to captivate your senses.

With its deep amber hue and inviting aroma, 'Dewars' is a testament to the artistry of fine whisky-making. The complex layers of flavor reveal notes of vanilla, honey, and dried fruit, creating a harmonious balance that is both bold and refined.

What sets 'Dewars' apart is its unique triple",Equestrian Breeches,Equestrian Wear,Miscellaneous
215,"Ballet shoes, dance belts, pilates rings, yoga pilates, dance costumes, square dancing, ballet, yoga props, ballet barres, belly dancing, ballroom, leotards, tutus","
Unwind and rejuvenate with our Yoga Pilates fusion program, designed to harmonize the best of both worlds. Experience the strength and flexibility benefits of Pilates, combined with the mindfulness and relaxation of Yoga. Our expertly crafted sessions will guide you through a seamless blend of controlled movements and meditative practices, ensuring a holistic approach to your fitness journey. Whether you're a seasoned practitioner or a beginner, our Yoga Pilates program offers a tailored experience to enhance your physical and mental well-being. Join us for a transformative journey towards a healthier, more balanced you.",Dance Gear Collection,Miscellaneous,Diverse Products/Services
129,"ethnic percussion instruments, tribal wind instruments, rare opera recordings, folk instrument replicas, classic brass instruments, ceremonial drums, handcrafted ethnic drums, historical music recordings, historical sheet music, hand-carved maracas, cultural flutes, ethnic music sculptures, antique musical instruments, traditional string instruments, vintage concert posters",Ethnic music sculptures combine visual art with auditory inspiration.,Ethno-Instruments & Heritage Records,Miscellaneous,Diverse Products/Services
150,"british kut, kravitz lenny, keeshond, klm, bonings, bon jovi, bon jovi memorabilia, jaycees, korn, cajons, gongs, kookeys, kimonos, ethnic clothing, shofars","
Introducing 'kookeys': the ultimate fusion of style, comfort, and innovation for your home. Designed with the modern lifestyle in mind, 'kookeys' are not just keys; they're a statement piece that seamlessly integrates into your daily routine.

**",Ethnic Collectibles,Ethnic Souvenirs,Cultural Merchandise
123,"high-resolution audio devices, bus-powered audio interfaces, mobile recording interfaces, studio-grade portable audio gear, multi-channel audio interfaces, wireless audio interfaces, streaming audio interfaces, MIDI audio controllers, audio interface bundles, portable preamps, compact audio processors, plug-and-play audio interfaces, portable sound cards, travel-friendly audio adapters, USB audio interfaces",Bluetooth audio interfaces ensure wireless connectivity for modern setups.,SoundStream Bundles,Miscellaneous,Diverse Products/Services
34,"pop filters, condenser microphones, instrument microphones, podcast microphones, shotgun microphones, wireless microphones, stereo microphones, portable microphones, windshields for microphones, XLR microphones, broadcast microphones, ribbon microphones, microphone stands, vocal microphones, dynamic microphones",XLR microphones ensure seamless connectivity for professional studio setups.,Microphone Accessories,Miscellaneous,Diverse Products/Services
326,"podcasting microphones, XLR mics, Condenser microphones, studio-quality microphones","
Unleash the true essence of your sound with our premium XLR mics, meticulously crafted to deliver unparalleled audio fidelity. Designed for professionals and enthusiasts alike, these XLR mics boast a robust build, ensuring durability and reliability in any recording environment.

Equipped with advanced transducer technology, our XLR mics capture sound with exceptional clarity and precision, making them ideal for vocal recordings, live performances, and studio productions. The cardioid polar pattern provides excellent noise rejection, allowing you to focus on the sound you want to capture without unwanted background interference.

Featuring a high-quality shock",SoundPro Mics,Studio Microphones,Miscellaneous
